N,avg_elapsed
10,6.20000000000065e-05
20,2.9000000000001247e-05
30,5.100000000000937e-05
40,5.8000000000002494e-05
50,7.699999999999374e-05
60,0.00011600000000000499
70,0.00012000000000000899
80,0.00014899999999999636
90,0.00014099999999998836
100,0.00014999999999999736
110,0.00016900000000000248
120,0.0002279999999999921
130,0.0002360000000000001
140,0.0002859999999999946
150,0.00027400000000001035
160,0.00027499999999999747
170,0.00032500000000000584
180,0.0002950000000000036
190,0.0003470000000000001
200,0.0003409999999999941
210,0.00034200000000000896
220,0.0004320000000000018
230,0.0004040000000000016
240,0.0007059999999999983
250,0.0006280000000000036
260,0.0004549999999999971
270,0.0004829999999999973
280,0.0005420000000000008
290,0.0005080000000000084
300,0.0005819999999999992
310,0.0005030000000000034
320,0.0005730000000000041
330,0.0005519999999999969
340,0.0005990000000000023
350,0.0006410000000000027
360,0.0007709999999999939
370,0.0008829999999999949
380,0.0007479999999999987
390,0.0008289999999999964
400,0.0008419999999999955
410,0.0007179999999999964
420,0.0007390000000000035
430,0.0008309999999999984
440,0.0008589999999999987
450,0.0008780000000000038
460,0.0011889999999999956
470,0.0009409999999999974
480,0.0008699999999999958
490,0.0008700000000000097
500,0.0009429999999999994
510,0.0010300000000000031
520,0.0010460000000000191
530,0.0011489999999999834
540,0.0011960000000000026
550,0.0010550000000000004
560,0.0010410000000000141
570,0.0011189999999999811
580,0.0010169999999999901
590,0.0011329999999999951
600,0.001348999999999989
610,0.0011730000000000074
620,0.0012040000000000106
630,0.0012579999999999814
640,0.0011289999999999911
650,0.0012659999999999894
660,0.0012770000000000004
670,0.0016629999999999978
680,0.001358999999999999
690,0.0014369999999999938
700,0.0012739999999999974
710,0.0013110000000000066
720,0.0014889999999999903
730,0.001799999999999996
740,0.001468999999999998
750,0.0013930000000000053
760,0.0014039999999999886
770,0.0015519999999999978
780,0.0023350000000000037
790,0.0017759999999999998
800,0.0017459999999999976
810,0.0015090000000000103
820,0.0015509999999999968
830,0.003393000000000007
840,0.0021059999999999968
850,0.0018770000000000175
860,0.0035270000000000024
870,0.0035229999999999984
880,0.0026450000000000085
890,0.003578999999999971
900,0.0026149999999999785
910,0.0018610000000000015
920,0.0018900000000000028
930,0.0021979999999999777
940,0.0019540000000000113
950,0.0020040000000000058
960,0.00230899999999995
970,0.0023340000000000027
980,0.0019220000000000348
990,0.0019339999999999913
1000,0.0032030000000000114
1010,0.0019680000000000253
1020,0.0020010000000000305
1030,0.0020499999999999963
1040,0.002363000000000004
1050,0.0024080000000000212
1060,0.0020840000000000303
1070,0.002112999999999976
1080,0.00284300000000004
1090,0.0022119999999999918
1100,0.0021000000000000463
1110,0.002610000000000001
1120,0.002619000000000038
1130,0.0022900000000000142
1140,0.0023659999999999792
1150,0.003092000000000039
1160,0.0023579999999999712
1170,0.002361000000000002
1180,0.0026660000000000017
1190,0.0024290000000000145
1200,0.0025149999999999895
1210,0.0026339999999999697
1220,0.002615000000000034
1230,0.002475000000000005
1240,0.0024980000000000002
1250,0.0030509999999999704
