N,avg_elapsed
10,4.000000000000531e-05
20,3.899999999999737e-05
30,7.799999999999474e-05
40,0.00014200000000000323
50,0.00018599999999999173
60,0.00026500000000000135
70,0.0003660000000000052
80,0.0004580000000000001
90,0.0006120000000000014
100,0.0006740000000000079
110,0.0007689999999999919
120,0.0012559999999999932
130,0.001333999999999988
140,0.0012980000000000075
150,0.0015370000000000106
160,0.001794000000000004
170,0.0019249999999999962
180,0.0020540000000000003
190,0.0024059999999999915
200,0.002694000000000002
210,0.003466999999999998
220,0.0032260000000000066
230,0.003456999999999988
240,0.003980999999999998
250,0.004830000000000001
260,0.004304999999999989
270,0.005280999999999994
280,0.005435000000000009
290,0.00550500000000001
300,0.006218000000000001
310,0.006643999999999983
320,0.007669000000000009
330,0.008187
340,0.008305000000000007
350,0.00848299999999999
360,0.009619000000000016
370,0.009816999999999992
380,0.009919000000000011
390,0.010910000000000003
400,0.012173000000000017
410,0.011697999999999986
420,0.012736999999999998
430,0.013529000000000013
440,0.01783100000000004
450,0.019121999999999972
460,0.015477000000000019
470,0.015968000000000038
480,0.018120000000000025
490,0.017326000000000008
500,0.018313999999999997
510,0.018608999999999987
520,0.02050099999999999
530,0.020625999999999978
540,0.02135700000000007
550,0.02226500000000009
560,0.022550999999999988
570,0.024105000000000043
580,0.024618999999999946
590,0.02588199999999996
600,0.026171999999999973
610,0.02710100000000004
620,0.028024999999999967
630,0.030584000000000056
640,0.029940000000000078
650,0.03061400000000003
660,0.0331459999999999
670,0.032472999999999974
680,0.03291200000000005
690,0.03529300000000002
700,0.0356439999999999
710,0.03650400000000009
720,0.03742099999999993
730,0.039179000000000075
740,0.038928000000000074
750,0.04114200000000001
760,0.04186599999999996
770,0.04327600000000009
780,0.04522500000000007
790,0.04666500000000018
800,0.047594000000000136
810,0.0471379999999999
820,0.05056599999999989
830,0.05054200000000009
840,0.05191499999999993
850,0.05216399999999988
860,0.053602999999999845
870,0.05517900000000009
880,0.0559909999999999
890,0.05803799999999981
900,0.06021600000000005
910,0.059558
920,0.06004699999999996
930,0.06176399999999971
940,0.06245900000000004
950,0.0629660000000003
960,0.06582800000000022
970,0.06633900000000015
980,0.06971399999999983
990,0.06980599999999981
1000,0.07126999999999972
1010,0.07185200000000025
1020,0.0722290000000001
1030,0.07576399999999994
1040,0.07928999999999986
1050,0.07856899999999989
1060,0.08175600000000038
1070,0.08264400000000016
1080,0.08285000000000009
1090,0.08568800000000021
1100,0.08735499999999963
1110,0.08866700000000005
1120,0.08873600000000037
1130,0.09001999999999999
1140,0.09105199999999991
1150,0.09195900000000012
1160,0.09253299999999998
1170,0.09374299999999991
1180,0.09788700000000006
1190,0.09960300000000011
1200,0.10156999999999972
1210,0.10424900000000026
1220,0.10503200000000046
1230,0.10463500000000003
1240,0.11050000000000004
1250,0.11052100000000031
1260,0.10950600000000055
1270,0.11435899999999943
1280,0.11604800000000015
1290,0.11615600000000015
1300,0.11822200000000027
1310,0.120336
1320,0.12142199999999992
1330,0.12560000000000038
1340,0.12628199999999978
1350,0.12897800000000004
1360,0.1309800000000001
1370,0.13425999999999938
1380,0.1328990000000001
1390,0.1334010000000001
1400,0.13980299999999968
1410,0.1413499999999992
1420,0.14132999999999996
1430,0.14118800000000054
1440,0.1477339999999998
1450,0.1493019999999996
1460,0.161219
1470,0.1613749999999996
1480,0.1528369999999999
1490,0.1537430000000004
1500,0.15633500000000033
1510,0.1733779999999996
1520,0.16017900000000118
1530,0.163176
1540,0.165972
1550,0.1871179999999999
1560,0.17188999999999943
1570,0.16962299999999964
1580,0.17257700000000042
1590,0.17675299999999972
1600,0.17611600000000038
1610,0.17850700000000153
1620,0.18393200000000043
1630,0.18237099999999984
1640,0.18785500000000077
1650,0.1930209999999999
1660,0.1902310000000007
1670,0.19376300000000057
1680,0.19489300000000043
1690,0.19762299999999833
1700,0.1979450000000007
1710,0.19990799999999886
1720,0.20391400000000104
1730,0.2080940000000009
1740,0.21222100000000133
1750,0.21170399999999923
1760,0.2146840000000001
1770,0.21892900000000104
1780,0.22128200000000042
1790,0.2221890000000002
1800,0.2208850000000009
1810,0.22784700000000058
1820,0.23133900000000018
1830,0.23234199999999916
1840,0.2415730000000007
1850,0.24120600000000003
1860,0.23925599999999925
1870,0.24313199999999924
1880,0.24057100000000098
1890,0.2464650000000006
1900,0.24885300000000043
1910,0.25797099999999773
1920,0.2563770000000005
1930,0.2596029999999985
1940,0.2616349999999983
1950,0.2625680000000017
1960,0.261451000000001
1970,0.26646300000000167
1980,0.2681690000000003
1990,0.2745670000000011
2000,0.27491099999999946
2010,0.27477400000000074
2020,0.28363999999999834
2030,0.2843739999999997
2040,0.2887260000000005
2050,0.28644999999999854
2060,0.2894520000000007
2070,0.2972280000000005
2080,0.2942569999999982
2090,0.29906000000000077
2100,0.3022840000000002
2110,0.3083139999999993
2120,0.309470000000001
2130,0.32565500000000114
2140,0.3353129999999993
2150,0.32873599999999925
2160,0.33900499999999667
2170,0.32331800000000044
2180,0.32708900000000085
2190,0.330878000000002
2200,0.33350499999999883
2210,0.33317799999999664
2220,0.33767600000000186
2230,0.33797500000000014
2240,0.348708000000002
2250,0.34485799999999855
2260,0.34924799999999934
2270,0.3486900000000013
2280,0.36360600000000076
2290,0.360239
2300,0.36112699999999975
2310,0.3688079999999978
2320,0.3665420000000026
2330,0.37200099999999736
2340,0.3728189999999998
2350,0.37572199999999967
2360,0.3794560000000011
2370,0.3836750000000002
2380,0.38856600000000086
2390,0.39050100000000043
2400,0.40027699999999555
2410,0.40097300000000047
